,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Rojo,"J Balvin",207536,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
2,Ignorantes,"Bad Bunny",126560,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
3,"La Difícil","Bad Bunny",119499,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
4,René,Residente,114885,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
5,"Si Veo a Tu Mamá","Bad Bunny",103782,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
6,"La Santa","Bad Bunny",90719,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
7,Vete,"Bad Bunny",86343,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
8,Morado,"J Balvin",82599,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
9,Tusa,"KAROL G",80325,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,"Sigues Con El","Dimelo Flow",77052,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
11,"Pero Ya No","Bad Bunny",67396,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
12,"Hola - Remix",Dalex,65493,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
13,"Dance Monkey","Tones and I",59489,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,"Yo Perreo Sola","Bad Bunny",59361,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
15,Blanco,"J Balvin",58717,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
16,Soliá,"Bad Bunny",58103,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
17,Bichiyal,"Bad Bunny",56152,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
18,Safaera,"Bad Bunny",55597,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
19,"A Tu Merced","Bad Bunny",52603,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
20,BORRAXXA,Feid,51352,https://open.spotify.com/track/2Y1EBfErprYwOlgluV9neb
21,Girl,"Myke Towers",49606,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
22,"Está Cabrón Ser Yo","Bad Bunny",48548,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
23,"Que Malo","Bad Bunny",48528,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
24,Fantasias,"Rauw Alejandro",48216,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
25,<3,"Bad Bunny",48170,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
26,"La Zona","Bad Bunny",45848,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
27,25/8,"Bad Bunny",44679,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
28,"LA CANCIÓN","J Balvin",43140,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
29,"Una Vez","Bad Bunny",43064,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
30,"No Me Conoce - Remix","Jhay Cortez",39337,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
31,Keii,"Anuel AA",39156,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
32,Diosa,"Myke Towers",39114,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
33,"RITMO (Bad Boys For Life)","Black Eyed Peas",38738,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
34,Medusa,"Jhay Cortez",38164,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
35,"P FKN R","Bad Bunny",37698,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
36,Quizas,"Rich Music LTD",37473,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
37,"Bellaquita - Remix",Dalex,36780,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
38,"Don't Start Now","Dua Lipa",34835,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
39,"Hablamos Mañana","Bad Bunny",34493,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
40,Mejor,Dalex,34194,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
41,Callaita,"Bad Bunny",34088,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
42,China,"Anuel AA",33625,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
43,Loco,Beéle,33278,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
44,Infeliz,Arcangel,33212,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
